encoder,variant,best_epoch,val_r2,val_mse,test_r2,test_mse,test_mae,train_rows,val_rows,test_rows,seed
sentence-transformers/all-MiniLM-L6-v2,hybrid,10,0.6987592331104654,0.008555052801966667,0.6953070634678044,0.00842579547315836,0.06734607368707657,6489,1146,1909,42
sentence-transformers/all-MiniLM-L6-v2,hybrid,9,0.6994596830464039,0.008535160683095455,0.708598514163572,0.008058241568505764,0.06683392822742462,6489,1146,1909,42
sentence-transformers/all-MiniLM-L6-v2,hybrid,10,0.7053899188891632,0.008366744965314865,0.7001311180915507,0.008292393758893013,0.06764116138219833,6489,1146,1909,42
sentence-transformers/all-MiniLM-L6-v2,text-only,10,0.7086444734839965,0.008274317719042301,0.7074620790870799,0.008089667186141014,0.06654732674360275,6489,1146,1909,42
